Q core socket tempC time
QQQ 5 0 34 3.42
QQQ 6 0 39 3.42
QQQ 7 0 43 3.42
QQQ 0 1 38 3.42
QQQ 1 1 44 3.42
QQQ 2 1 36 3.42
QQQ 3 1 40 3.42
QQQ 4 1 36 3.42
QQQ 5 1 33 3.42
QQQ 6 1 36 3.42
QQQ 7 1 30 3.42
QQQ 0 0 44 3.52
QQQ 1 0 39 3.52
QQQ 2 0 42 3.52
QQQ 3 0 36 3.52
QQQ 4 0 38 3.52
QQQ 5 0 33 3.52
QQQ 6 0 40 3.52
QQQ 7 0 43 3.52
QQQ 0 1 39 3.52
QQQ 1 1 44 3.52
QQQ 2 1 35 3.53
QQQ 3 1 40 3.53
QQQ 4 1 36 3.53
QQQ 5 1 33 3.53
QQQ 6 1 36 3.53
QQQ 7 1 31 3.53
QQQ 0 0 43 3.63
QQQ 1 0 40 3.63
QQQ 2 0 41 3.63
QQQ 3 0 36 3.63
QQQ 4 0 39 3.63
QQQ 5 0 33 3.63
QQQ 6 0 39 3.63
QQQ 7 0 43 3.63
QQQ 0 1 39 3.63
QQQ 1 1 43 3.63
QQQ 2 1 35 3.63
QQQ 3 1 41 3.63
QQQ 4 1 37 3.63
QQQ 5 1 33 3.63
QQQ 6 1 36 3.63
QQQ 7 1 31 3.63
QQQ 0 0 44 3.73
QQQ 1 0 39 3.73
QQQ 2 0 42 3.73
QQQ 3 0 36 3.73
QQQ 4 0 39 3.73
QQQ 5 0 33 3.73
QQQ 6 0 39 3.73
QQQ 7 0 43 3.73
QQQ 0 1 39 3.73
QQQ 1 1 43 3.73
QQQ 2 1 35 3.73
QQQ 3 1 41 3.73
QQQ 4 1 36 3.73
QQQ 5 1 33 3.73
QQQ 6 1 36 3.73
QQQ 7 1 30 3.73
QQQ 0 0 43 3.83
QQQ 1 0 39 3.83
QQQ 2 0 43 3.83
QQQ 3 0 36 3.83
QQQ 4 0 38 3.83
QQQ 5 0 34 3.83
QQQ 6 0 39 3.83
QQQ 7 0 44 3.83
QQQ 0 1 39 3.83
QQQ 1 1 44 3.83
QQQ 2 1 36 3.83
QQQ 3 1 41 3.83
QQQ 4 1 36 3.83
QQQ 5 1 33 3.83
QQQ 6 1 36 3.83
QQQ 7 1 30 3.83
QQQ 0 0 43 3.93
QQQ 1 0 39 3.93
QQQ 2 0 43 3.93
QQQ 3 0 36 3.93
QQQ 4 0 37 3.93
QQQ 5 0 34 3.93
QQQ 6 0 40 3.93
QQQ 7 0 44 3.93
QQQ 0 1 39 3.93
QQQ 1 1 44 3.93
QQQ 2 1 36 3.93
QQQ 3 1 40 3.93
QQQ 4 1 37 3.93
QQQ 5 1 32 3.93
QQQ 6 1 37 3.93
QQQ 7 1 31 3.93
QQQ 0 0 43 4.03
QQQ 1 0 39 4.03
QQQ 2 0 42 4.03
QQQ 3 0 35 4.03
QQQ 4 0 39 4.03
QQQ 5 0 34 4.03
QQQ 6 0 39 4.03
QQQ 7 0 43 4.03
QQQ 0 1 39 4.03
QQQ 1 1 43 4.03
QQQ 2 1 36 4.03
QQQ 3 1 40 4.03
QQQ 4 1 37 4.03
QQQ 5 1 33 4.03
QQQ 6 1 36 4.03
QQQ 7 1 30 4.03
QQQ 0 0 43 4.13
QQQ 1 0 39 4.13
QQQ 2 0 42 4.13
QQQ 3 0 36 4.13
QQQ 4 0 38 4.13
QQQ 5 0 35 4.13
QQQ 6 0 40 4.13
QQQ 7 0 44 4.13
QQQ 0 1 39 4.13
QQQ 1 1 43 4.13
QQQ 2 1 35 4.13
QQQ 3 1 41 4.13
QQQ 4 1 37 4.13
QQQ 5 1 33 4.13
QQQ 6 1 36 4.13
QQQ 7 1 30 4.13
QQQ 0 0 44 4.23
